2020_01_08_16_41_10_1114349181 : -----------------------------------------
2020_01_08_16_41_10_1114349181 : https://finance.forumactif.com
2020_01_08_16_41_10_1114349181 : https://ichimokuscanner.000webhostapp.com
2020_01_08_16_41_10_1114349181 : Email: investdatasystems@yahoo.com
2020_01_08_16_41_10_1114349181 : -----------------------------------------
2020_01_08_16_41_10_1114349181 : Starting IchimokuUltimateScannerEA2020 5.3
2020_01_08_16_41_11_1114350195 : Running mode : Run Only Once.
2020_01_08_16_41_11_1114350288 : EURUSD : PREV japanese candlestick HAS CROSSED OVER kumo in M1 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11221500
2020_01_08_16_41_11_1114350491 : EURUSD : PREV japanese candlestick HAS CROSSED UNDER kumo in M3 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11200000
2020_01_08_16_41_12_1114351786 : EURUSD : CURR japanese candlestick IS OVER kumo in H8 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11606000
2020_01_08_16_41_13_1114351879 : EURUSD : PREV japanese candlestick IS OVER kumo in H12 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11526000
2020_01_08_16_41_13_1114351989 : EURUSD : PREV japanese candlestick IS OVER kumo in D1 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11209500
2020_01_08_16_41_13_1114351989 : EURUSD : CURR japanese candlestick IS OVER kumo in D1 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11209500
2020_01_08_16_41_13_1114351989 : *
2020_01_08_16_41_13_1114352082 : GBPUSD : PREV japanese candlestick HAS CROSSED OVER kumo in M1 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.31254500
2020_01_08_16_41_13_1114352082 : GBPUSD : CURR japanese candlestick HAS CROSSED OVER kumo in M1 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.31254500
2020_01_08_16_41_13_1114352191 : GBPUSD : PREV japanese candlestick IS OVER kumo in M2 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.31225000
2020_01_08_16_41_13_1114352191 : GBPUSD : CURR japanese candlestick IS OVER kumo in M2 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.31225000
2020_01_08_16_41_13_1114352285 : GBPUSD : PREV japanese candlestick IS OVER kumo in M3 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.31194000
2020_01_08_16_41_13_1114352285 : GBPUSD : CURR japanese candlestick IS OVER kumo in M3 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.31194000
2020_01_08_16_41_13_1114352394 : GBPUSD : PREV japanese candlestick IS OVER kumo in M4 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31123000
2020_01_08_16_41_13_1114352394 : GBPUSD : CURR japanese candlestick IS OVER kumo in M4 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31123000
2020_01_08_16_41_13_1114352691 : GBPUSD : CURR japanese candlestick IS UNDER kumo in M10 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31095000
2020_01_08_16_41_13_1114352784 : GBPUSD : PREV japanese candlestick IS UNDER kumo in M12 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31150500
2020_01_08_16_41_13_1114352784 : GBPUSD : CURR japanese candlestick IS UNDER kumo in M12 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31150500
2020_01_08_16_41_14_1114352893 : GBPUSD : PREV japanese candlestick IS UNDER kumo in M15 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31249000
2020_01_08_16_41_14_1114352893 : GBPUSD : CURR japanese candlestick IS UNDER kumo in M15 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31249000
2020_01_08_16_41_14_1114353081 : GBPUSD : PREV japanese candlestick IS UNDER kumo in H1 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31249000
2020_01_08_16_41_14_1114353081 : GBPUSD : CURR japanese candlestick IS UNDER kumo in H1 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31249000
2020_01_08_16_41_14_1114353190 : GBPUSD : PREV japanese candlestick IS UNDER kumo in H2 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31462000
2020_01_08_16_41_14_1114353190 : GBPUSD : CURR japanese candlestick IS UNDER kumo in H2 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31462000
2020_01_08_16_41_14_1114353283 : GBPUSD : PREV japanese candlestick HAS CROSSED UNDER kumo in H3 --- ASK/BUY = 1.31246 --- BID/SELL = 1.3124 --- KIJUN = 1.31328500
2020_01_08_16_41_14_1114353689 : GBPUSD : PREV japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.30943500
2020_01_08_16_41_14_1114353689 : GBPUSD : CURR japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.30943500
2020_01_08_16_41_14_1114353783 : GBPUSD : PREV japanese candlestick IS OVER kumo in D1 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.32051500
2020_01_08_16_41_14_1114353783 : GBPUSD : CURR japanese candlestick IS OVER kumo in D1 --- ASK/BUY = 1.31246 --- BID/SELL = 1.31239 --- KIJUN = 1.32051500
2020_01_08_16_41_14_1114353783 : *
2020_01_08_16_41_15_1114353892 : USDCHF : PREV japanese candlestick IS UNDER kumo in M1 --- ASK/BUY = 0.97029 --- BID/SELL = 0.97022 --- KIJUN = 0.97013500
2020_01_08_16_41_15_1114353892 : USDCHF : CURR japanese candlestick IS UNDER kumo in M1 --- ASK/BUY = 0.97029 --- BID/SELL = 0.97022 --- KIJUN = 0.97013500
2020_01_08_16_41_15_1114353985 : USDCHF : PREV japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 0.97029 --- BID/SELL = 0.97022 --- KIJUN = 0.97015000
2020_01_08_16_41_15_1114353985 : USDCHF : CURR japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 0.97029 --- BID/SELL = 0.97022 --- KIJUN = 0.97015000
2020_01_08_16_41_15_1114354095 : USDCHF : PREV japanese candlestick IS UNDER kumo in M3 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97037000
2020_01_08_16_41_15_1114354095 : USDCHF : CURR japanese candlestick IS UNDER kumo in M3 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97037000
2020_01_08_16_41_15_1114354188 : USDCHF : PREV japanese candlestick IS UNDER kumo in M4 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97066000
2020_01_08_16_41_15_1114354188 : USDCHF : CURR japanese candlestick IS UNDER kumo in M4 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97066000
2020_01_08_16_41_15_1114354297 : USDCHF : PREV japanese candlestick IS UNDER kumo in M5 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97067500
2020_01_08_16_41_15_1114354297 : USDCHF : CURR japanese candlestick IS UNDER kumo in M5 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97067500
2020_01_08_16_41_15_1114354391 : USDCHF : PREV japanese candlestick IS UNDER kumo in M6 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97089000
2020_01_08_16_41_15_1114354391 : USDCHF : CURR japanese candlestick IS UNDER kumo in M6 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97089000
2020_01_08_16_41_15_1114354687 : USDCHF : PREV japanese candlestick IS OVER kumo in M15 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97132500
2020_01_08_16_41_15_1114354687 : USDCHF : CURR japanese candlestick HAS CROSSED OVER kumo in M15 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97132500
2020_01_08_16_41_15_1114354797 : USDCHF : PREV japanese candlestick IS OVER kumo in M30 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97079500
2020_01_08_16_41_15_1114354797 : USDCHF : CURR japanese candlestick IS OVER kumo in M30 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97079500
2020_01_08_16_41_16_1114355187 : USDCHF : CURR japanese candlestick IS UNDER kumo in H4 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97044500
2020_01_08_16_41_16_1114355187 : USDCHF : PREV japanese candlestick HAS CROSSED UNDER kumo in H4 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97044500
2020_01_08_16_41_16_1114355296 : USDCHF : PREV japanese candlestick IS UNDER kumo in H6 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.96949500
2020_01_08_16_41_16_1114355296 : USDCHF : CURR japanese candlestick IS UNDER kumo in H6 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.96949500
2020_01_08_16_41_16_1114355389 : USDCHF : PREV japanese candlestick IS UNDER kumo in H8 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97323000
2020_01_08_16_41_16_1114355389 : USDCHF : CURR japanese candlestick IS UNDER kumo in H8 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97323000
2020_01_08_16_41_16_1114355499 : USDCHF : PREV japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97394000
2020_01_08_16_41_16_1114355499 : USDCHF : CURR japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.97394000
2020_01_08_16_41_16_1114355592 : USDCHF : PREV japanese candlestick IS UNDER kumo in D1 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.98273500
2020_01_08_16_41_16_1114355592 : USDCHF : CURR japanese candlestick IS UNDER kumo in D1 --- ASK/BUY = 0.97028 --- BID/SELL = 0.97022 --- KIJUN = 0.98273500
2020_01_08_16_41_16_1114355592 : *
2020_01_08_16_41_16_1114355795 : USDJPY : PREV japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 108.715 --- BID/SELL = 108.712 --- KIJUN = 108.68600000
2020_01_08_16_41_16_1114355795 : USDJPY : CURR japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 108.715 --- BID/SELL = 108.712 --- KIJUN = 108.68600000
2020_01_08_16_41_17_1114355998 : USDJPY : CURR japanese candlestick HAS CROSSED OVER kumo in M4 --- ASK/BUY = 108.715 --- BID/SELL = 108.712 --- KIJUN = 108.72150000
2020_01_08_16_41_17_1114356091 : USDJPY : PREV japanese candlestick IS OVER kumo in M5 --- ASK/BUY = 108.715 --- BID/SELL = 108.712 --- KIJUN = 108.72150000
2020_01_08_16_41_17_1114356091 : USDJPY : CURR japanese candlestick IS OVER kumo in M5 --- ASK/BUY = 108.715 --- BID/SELL = 108.712 --- KIJUN = 108.72150000
2020_01_08_16_41_17_1114356185 : USDJPY : PREV japanese candlestick IS OVER kumo in M6 --- ASK/BUY = 108.715 --- BID/SELL = 108.713 --- KIJUN = 108.72150000
2020_01_08_16_41_17_1114356185 : USDJPY : CURR japanese candlestick IS OVER kumo in M6 --- ASK/BUY = 108.715 --- BID/SELL = 108.713 --- KIJUN = 108.72150000
2020_01_08_16_41_17_1114356294 : USDJPY : PREV japanese candlestick IS OVER kumo in M10 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.64600000
2020_01_08_16_41_17_1114356294 : USDJPY : CURR japanese candlestick IS OVER kumo in M10 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.64600000
2020_01_08_16_41_17_1114356388 : USDJPY : PREV japanese candlestick IS OVER kumo in M12 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.61700000
2020_01_08_16_41_17_1114356388 : USDJPY : CURR japanese candlestick IS OVER kumo in M12 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.61700000
2020_01_08_16_41_17_1114356497 : USDJPY : PREV japanese candlestick IS OVER kumo in M15 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.60700000
2020_01_08_16_41_17_1114356497 : USDJPY : CURR japanese candlestick IS OVER kumo in M15 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.60700000
2020_01_08_16_41_17_1114356591 : USDJPY : PREV japanese candlestick IS OVER kumo in M30 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.41000000
2020_01_08_16_41_17_1114356591 : USDJPY : CURR japanese candlestick IS OVER kumo in M30 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.41000000
2020_01_08_16_41_17_1114356700 : USDJPY : PREV japanese candlestick IS OVER kumo in H1 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.23200000
2020_01_08_16_41_17_1114356700 : USDJPY : CURR japanese candlestick IS OVER kumo in H1 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.23200000
2020_01_08_16_41_17_1114356793 : USDJPY : PREV japanese candlestick IS OVER kumo in H2 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.23200000
2020_01_08_16_41_17_1114356793 : USDJPY : CURR japanese candlestick IS OVER kumo in H2 --- ASK/BUY = 108.716 --- BID/SELL = 108.714 --- KIJUN = 108.23200000
2020_01_08_16_41_18_1114356996 : USDJPY : PREV japanese candlestick IS UNDER kumo in H4 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.25700000
2020_01_08_16_41_18_1114356996 : USDJPY : CURR japanese candlestick IS UNDER kumo in H4 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.25700000
2020_01_08_16_41_18_1114357090 : USDJPY : PREV japanese candlestick IS UNDER kumo in H6 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.43850000
2020_01_08_16_41_18_1114357090 : USDJPY : CURR japanese candlestick IS UNDER kumo in H6 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.43850000
2020_01_08_16_41_18_1114357199 : USDJPY : PREV japanese candlestick IS UNDER kumo in H8 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.66650000
2020_01_08_16_41_18_1114357199 : USDJPY : CURR japanese candlestick IS UNDER kumo in H8 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.66650000
2020_01_08_16_41_18_1114357293 : USDJPY : PREV japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.66700000
2020_01_08_16_41_18_1114357293 : USDJPY : CURR japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 108.716 --- BID/SELL = 108.713 --- KIJUN = 108.66700000
2020_01_08_16_41_18_1114357386 : *
2020_01_08_16_41_18_1114357495 : AUDCAD : PREV japanese candlestick IS UNDER kumo in M1 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89318000
2020_01_08_16_41_18_1114357495 : AUDCAD : CURR japanese candlestick IS UNDER kumo in M1 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89318000
2020_01_08_16_41_18_1114357589 : AUDCAD : PREV japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89344500
2020_01_08_16_41_18_1114357589 : AUDCAD : CURR japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89344500
2020_01_08_16_41_18_1114357698 : AUDCAD : PREV japanese candlestick IS UNDER kumo in M3 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89335000
2020_01_08_16_41_18_1114357698 : AUDCAD : CURR japanese candlestick IS UNDER kumo in M3 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89335000
2020_01_08_16_41_18_1114357792 : AUDCAD : PREV japanese candlestick IS UNDER kumo in M4 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89335000
2020_01_08_16_41_18_1114357792 : AUDCAD : CURR japanese candlestick IS UNDER kumo in M4 --- ASK/BUY = 0.89305 --- BID/SELL = 0.89295 --- KIJUN = 0.89335000
2020_01_08_16_41_19_1114357901 : AUDCAD : PREV japanese candlestick IS UNDER kumo in M5 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89335000
2020_01_08_16_41_19_1114357901 : AUDCAD : CURR japanese candlestick IS UNDER kumo in M5 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89335000
2020_01_08_16_41_19_1114357995 : AUDCAD : CURR japanese candlestick HAS CROSSED UNDER kumo in M6 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89350000
2020_01_08_16_41_19_1114358291 : AUDCAD : PREV japanese candlestick IS OVER kumo in M15 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89350000
2020_01_08_16_41_19_1114358291 : AUDCAD : CURR japanese candlestick IS OVER kumo in M15 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89350000
2020_01_08_16_41_19_1114358494 : AUDCAD : PREV japanese candlestick IS UNDER kumo in H1 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89240500
2020_01_08_16_41_19_1114358494 : AUDCAD : CURR japanese candlestick IS UNDER kumo in H1 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89240500
2020_01_08_16_41_19_1114358587 : AUDCAD : PREV japanese candlestick IS UNDER kumo in H2 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89619500
2020_01_08_16_41_19_1114358587 : AUDCAD : CURR japanese candlestick IS UNDER kumo in H2 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89296 --- KIJUN = 0.89619500
2020_01_08_16_41_19_1114358697 : AUDCAD : PREV japanese candlestick IS UNDER kumo in H3 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.89751000
2020_01_08_16_41_19_1114358697 : AUDCAD : CURR japanese candlestick IS UNDER kumo in H3 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.89751000
2020_01_08_16_41_19_1114358790 : AUDCAD : PREV japanese candlestick IS UNDER kumo in H4 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.89990000
2020_01_08_16_41_19_1114358790 : AUDCAD : CURR japanese candlestick IS UNDER kumo in H4 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.89990000
2020_01_08_16_41_20_1114358899 : AUDCAD : PREV japanese candlestick IS UNDER kumo in H6 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114358899 : AUDCAD : CURR japanese candlestick IS UNDER kumo in H6 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114358993 : AUDCAD : PREV japanese candlestick IS UNDER kumo in H8 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114358993 : AUDCAD : CURR japanese candlestick IS UNDER kumo in H8 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114359102 : AUDCAD : PREV japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114359102 : AUDCAD : CURR japanese candlestick IS UNDER kumo in H12 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114359196 : AUDCAD : CURR japanese candlestick IS UNDER kumo in D1 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114359196 : AUDCAD : PREV japanese candlestick HAS CROSSED UNDER kumo in D1 --- ASK/BUY = 0.89306 --- BID/SELL = 0.89298 --- KIJUN = 0.90270500
2020_01_08_16_41_20_1114359196 : *
2020_01_08_16_41_20_1114359289 : AUDCHF : PREV japanese candlestick IS UNDER kumo in M1 --- ASK/BUY = 0.6656 --- BID/SELL = 0.66554 --- KIJUN = 0.66590500
2020_01_08_16_41_20_1114359289 : AUDCHF : CURR japanese candlestick IS UNDER kumo in M1 --- ASK/BUY = 0.6656 --- BID/SELL = 0.66554 --- KIJUN = 0.66590500
2020_01_08_16_41_20_1114359399 : AUDCHF : PREV japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 0.6656 --- BID/SELL = 0.66554 --- KIJUN = 0.66590500
2020_01_08_16_41_20_1114359399 : AUDCHF : CURR japanese candlestick IS UNDER kumo in M2 --- ASK/BUY = 0.6656 --- BID/SELL = 0.66554 --- KIJUN = 0.66590500
2020_01_08_16_41_20_1114359492 : AUDCHF : PREV japanese candlestick IS UNDER kumo in M3 --- ASK/BUY = 0.6655799999999999 --- BID/SELL = 0.66553 --- KIJUN = 0.66595500
